care-care-care-care-care-care, 120
care-care-care-care-care, 140
care-care-care-care, 80
care-care-care, 600
care-care, 100
care, 200
medicine-medicine-medicine-medicine-medicine, 20
medicine-medicine-medicine-medicine, 65
medicine-medicine-medicine, 55
medicine-medicine, 45
medicine, 30
house-house-house-house-house-house, 90
house-house-house-house-house, 85
house-house-house-house, 70
house-house-house, 120
house-house, 130
house, 90
operation-operation-operation-operation-operation, 1000
operation-operation-operation-operation, 1000
operation-operation, 500
operation, 100
meal-meal-meal-meal-meal-meal, 40
meal-meal-meal-meal-meal, 50
meal-meal-meal-meal, 50
meal-meal-meal, 50
meal-meal, 50
meal, 50
